Ativo,"Minha Categoria",Recebido,"Data pgto.","Data COM",YOC,DY,"Valor por cota"
BCFF11,"Renda Variavel","R$ 78,96",13/01/2023,06/01/2023,"0.79 %","0.85 %","R$ 0,56"
KNRI11,"Renda Variavel","R$ 41,00",13/01/2023,29/12/2022,"0.70 %","0.71 %","R$ 1,00"
MXRF11,"Renda Variavel","R$ 51,30",13/01/2023,29/12/2022,"0.98 %","0.99 %","R$ 0,10"
RBFF11,"Renda Variavel","R$ 29,07",13/01/2023,29/12/2022,"0.91 %","0.96 %","R$ 0,51"
RBVA11,"Renda Variavel","R$ 36,38",13/01/2023,29/12/2022,"1.11 %","1.16 %","R$ 1,07"
RZAG11,"Renda Variavel","R$ 11,80",13/01/2023,29/12/2022,"1.17 %","1.24 %","R$ 0,12"
VISC11,"Renda Variavel","R$ 28,05",13/01/2023,29/12/2022,"0.82 %","0.80 %","R$ 0,85"
XPLG11,"Renda Variavel","R$ 23,68",13/01/2023,29/12/2022,"0.71 %","0.75 %","R$ 0,74"
RBFF11,"Renda Variavel","R$ 29,07",15/12/2022,30/11/2022,"0.91 %","0.95 %","R$ 0,51"
RBVA11,"Renda Variavel","R$ 31,03",15/12/2022,30/11/2022,"1.10 %","1.15 %","R$ 1,07"
BCFF11,"Renda Variavel","R$ 78,96",14/12/2022,07/12/2022,"0.79 %","0.81 %","R$ 0,56"
KNRI11,"Renda Variavel","R$ 34,58",14/12/2022,30/11/2022,"0.64 %","0.63 %","R$ 0,91"
MXRF11,"Renda Variavel","R$ 41,04",14/12/2022,30/11/2022,"0.79 %","0.79 %","R$ 0,08"
RZAG11,"Renda Variavel","R$ 11,00",14/12/2022,30/11/2022,"1.09 %","1.11 %","R$ 0,11"
VISC11,"Renda Variavel","R$ 21,28",14/12/2022,30/11/2022,"0.74 %","0.72 %","R$ 0,76"
XPLG11,"Renda Variavel","R$ 23,68",14/12/2022,30/11/2022,"0.71 %","0.74 %","R$ 0,74"
BCFF11,"Renda Variavel","R$ 70,56",16/11/2022,08/11/2022,"0.79 %","0.79 %","R$ 0,56"
KNRI11,"Renda Variavel","R$ 34,58",16/11/2022,31/10/2022,"0.64 %","0.62 %","R$ 0,91"
MXRF11,"Renda Variavel","R$ 51,30",16/11/2022,31/10/2022,"0.98 %","0.97 %","R$ 0,10"
RBFF11,"Renda Variavel","R$ 29,07",16/11/2022,31/10/2022,"0.91 %","0.90 %","R$ 0,51"
RZAG11,"Renda Variavel","R$ 13,00",16/11/2022,31/10/2022,"1.29 %","1.24 %","R$ 0,13"
VISC11,"Renda Variavel","R$ 21,00",16/11/2022,31/10/2022,"0.73 %","0.66 %","R$ 0,75"
XPLG11,"Renda Variavel","R$ 23,68",16/11/2022,31/10/2022,"0.71 %","0.68 %","R$ 0,74"
RBVA11,"Renda Variavel","R$ 31,03",14/11/2022,31/10/2022,"1.10 %","1.10 %","R$ 1,07"
BCFF11,"Renda Variavel","R$ 64,96",17/10/2022,07/10/2022,"0.79 %","0.78 %","R$ 0,56"
KNRI11,"Renda Variavel","R$ 31,85",17/10/2022,30/09/2022,"0.64 %","0.60 %","R$ 0,91"
MXRF11,"Renda Variavel","R$ 31,40",17/10/2022,30/09/2022,"0.99 %","0.97 %","R$ 0,10"
RZAG11,"Renda Variavel","R$ 11,20",17/10/2022,30/09/2022,"1.39 %","1.39 %","R$ 0,14"
VISC11,"Renda Variavel","R$ 17,76",17/10/2022,30/09/2022,"0.73 %","0.66 %","R$ 0,74"
XPLG11,"Renda Variavel","R$ 21,46",17/10/2022,30/09/2022,"0.71 %","0.67 %","R$ 0,74"
RBFF11,"Renda Variavel","R$ 19,89",14/10/2022,30/09/2022,"0.91 %","0.89 %","R$ 0,51"
RBVA11,"Renda Variavel","R$ 25,68",14/10/2022,30/09/2022,"1.10 %","1.10 %","R$ 1,07"
B3SA3,"(Não atribuído)","R$ 4,18",07/10/2022,22/09/2022,"0.41 %","0.35 %","R$ 0,05"
B3SA3,"(Não atribuído)","R$ 2,53",07/10/2022,22/09/2022,"0.25 %","0.21 %","R$ 0,03"
ITSA4,"(Não atribuído)","R$ 3,30",03/10/2022,31/08/2022,"0.23 %","0.28 %","R$ 0,02"
BBAS3,"(Não atribuído)","R$ 5,58",30/09/2022,12/09/2022,"0.69 %","0.57 %","R$ 0,23"
BCFF11,"Renda Variavel","R$ 64,96",15/09/2022,08/09/2022,"0.79 %","0.77 %","R$ 0,56"
KNRI11,"Renda Variavel","R$ 31,85",15/09/2022,31/08/2022,"0.64 %","0.59 %","R$ 0,91"
MXRF11,"Renda Variavel","R$ 34,54",15/09/2022,31/08/2022,"1.09 %","1.07 %","R$ 0,11"
RBFF11,"Renda Variavel","R$ 19,50",15/09/2022,31/08/2022,"0.89 %","0.83 %","R$ 0,50"
RBVA11,"Renda Variavel","R$ 24,48",15/09/2022,31/08/2022,"1.05 %","1.03 %","R$ 1,02"
VISC11,"Renda Variavel","R$ 17,28",15/09/2022,31/08/2022,"0.71 %","0.64 %","R$ 0,72"
